content,sentiment
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness
im grabbing a minute to post i feel greedy wrong,anger
i am feeling grouchy,anger
ive been feeling a little burdened lately wasnt sure why that was,sadness
i feel like i have to make the suffering i m seeing mean something,sadness
i think it s the easiest time of year to feel dissatisfied,anger
i feel low energy i m just thirsty,sadness
i didnt really feel that embarrassed,sadness
i feel pretty pathetic most of the time,sadness
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness
i feel irritated and rejected without anyone doing anything or saying anything,anger
i already feel like i fucked up though because i dont usually eat at all in the morning,anger
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness
i become overwhelmed and feel defeated,sadness
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness
i was feeling listless from the need of new things something different,sadness
i stopped feeling cold and began feeling hot,anger
i found myself feeling a little discouraged that morning,sadness
i feel selfish and spoiled,anger
i feel you know basically like a fake in the realm of science fiction,sadness
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger
i know the pain parents feel when an enraged child becomes violent,anger
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness
i am feeling miserable but c i am also the proudest mum on earth,sadness
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness
i can feel my ovaries aching talking to me as i like to put it,sadness
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,sadness
i feel angered and firey,anger
i feel like a miserable piece of garbage,sadness
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger
i remember feeling so hellip furious with the shooter,anger
i feel so worthless during those times i was struggling finding work,sadness
im feeling bitter today my mood has been strange the entire day so i guess its that,anger
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness
i am letting go of the animosity that is towards anyone that i feel has wronged me,anger
i feel like throwing away the shitty piece of shit paper,sadness
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,sadness
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,sadness
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,sadness
im not feeling homesick yet so im feeling alright about this,sadness
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,sadness
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,sadness
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger
i do not feel miserable at all because my family is not the type that celebrates eid,sadness
i still feel sleep deprived she is almost sleeping through the night giving us,sadness
i just feel really violent right now,anger
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness
i feel disgusted to even be associated with this woman by my race and nationality,anger
i laughed then bitterly again but i wasnt feeling bitter,anger
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,sadness
i could feel her whimper to the thought of being unloved and uncared for,sadness
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger
